smiles,wt_threshold_kcal_mol,retention_low_percent,retention_high_percent,leave_out_mutant,score_perturbation_percent,eligible_target_count,eligible_targets,mutant_count,rrs_mean,rrs_class,wt_anchor_min_abs_kcal_mol
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,72.11301085,C,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,74.17949558,B,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,69.53187135,D,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,7.00000000,70.00000000,80.00000000,none,0,1,PfCRT,2,88.17204301,A*,9.30000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,7.00000000,70.00000000,80.00000000,none,0,1,PfCRT,2,82.60000000,A*,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,7.00000000,70.00000000,80.00000000,none,0,1,PfCRT,2,92.37373737,A*,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,87.77777778,A*,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,7.00000000,70.00000000,80.00000000,none,0,1,PfCRT,2,78.23809524,B,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,7.00000000,70.00000000,80.00000000,none,0,1,PfCRT,2,91.26373626,A*,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,81.12202381,C,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,80.49062049,B,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,76.32108288,B,7.60000000
O=C(O)C=Cc1ccc(O)cc1,7.00000000,70.00000000,80.00000000,none,0,2,PfDHFR;PfCRT,6,68.17513296,C,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,70.79836415,D,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,72.39401709,C,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,104.81927711,A*,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,75.00795257,D,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,72.11301085,D,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,74.17949558,D,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,69.53187135,D,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,88.17204301,A*,9.30000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,82.60000000,B,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,92.37373737,A*,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,87.77777778,B,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,78.23809524,B,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,7.00000000,75.00000000,85.00000000,none,0,1,PfCRT,2,91.26373626,A*,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,81.12202381,C,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,80.49062049,B,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,76.32108288,D,7.60000000
O=C(O)C=Cc1ccc(O)cc1,7.00000000,75.00000000,85.00000000,none,0,2,PfDHFR;PfCRT,6,68.17513296,C,7.40000000
C=CCc1cc(OC)c2c(c1OC)OCO2,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,70.79836415,D,7.40000000
C=C[C@@](C)(O)CC/C=C(\C)CCC=C(C)C,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,72.39401709,D,7.50000000
CC(=O)OC1C(=O)c2c(O)cc(O)cc2O[C@H]1c1ccc(O)cc1,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,104.81927711,A*,8.30000000
CC(C)=CCOc1ccc2ccc(=O)oc2c1,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,75.00795257,D,7.60000000
CC(C)=CCc1c(O)cc2c(c1O)C(=O)C(c1ccc(O)cc1O)CO2,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,72.11301085,D,10.30000000
CC(C)=CCc1ccc2cc[nH]c2c1,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,74.17949558,D,7.10000000
CC=Cc1cc(O)c(O)c(OC)c1,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,69.53187135,D,7.50000000
COc1c(O)cc2c(c1O)C(=O)C([C@H](O)c1ccccc1)CO2,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,88.17204301,B,9.30000000
COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)c(OC)c3)oc2c1,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,82.60000000,B,10.00000000
COc1cc([C@@H]2CC(=O)c3ccc(O)cc3O2)cc(CC=C(C)C)c1O,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,92.37373737,A*,9.90000000
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)cc3o2)cc1,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,87.77777778,B,7.50000000
COc1ccc(-c2cc(=O)c3c(O)cc(O)cc3o2)cc1,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,78.23809524,D,10.50000000
COc1ccc(C[C@@H]2CO[C@H](O)[C@H]2Cc2ccc(OC)c(OC)c2)cc1OC,7.00000000,80.00000000,90.00000000,none,0,1,PfCRT,2,91.26373626,B,9.10000000
COc1ccc2c(OC)c3ccoc3nc2c1OC,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,81.12202381,C,7.00000000
COc1cccc2c(=O)c3ccc(O)cc3oc12,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,80.49062049,D,7.70000000
Cc1occ2c1C(=O)c1c(O)cccc1C2=O,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,76.32108288,D,7.60000000
O=C(O)C=Cc1ccc(O)cc1,7.00000000,80.00000000,90.00000000,none,0,2,PfDHFR;PfCRT,6,68.17513296,C,7.40000000
